name,code,year,corop_code,corop,region_code,region,province_code,province
Bunnik,GM0312,2026,CR17,Utrecht,AM13,Midden-Utrecht,PV26,Utrecht
Bunschoten,GM0313,2026,CR17,Utrecht,AM14,Amersfoort,PV26,Utrecht
Buren,GM0214,2026,CR16,Zuidwest-Gelderland,AM10,Rivierenland,PV25,Gelderland
Bussum,GM0381,2015,CR24,Het Gooi en Vechtstreek,AM12,Gooi en Vechtstreek,PV27,Noord-Holland
Capelle aan den IJssel,GM0502,2026,CR29,Groot-Rijnmond,AM22,Rijnmond,PV28,Zuid-Holland
Castricum,GM0383,2026,CR20,IJmond,AM15,Noord-Holland Noord,PV27,Noord-Holland
Coevorden,GM0109,2026,CR08,Zuidoost-Drenthe,AM03,Drenthe,PV22,Drenthe
Cranendonck,GM1706,2026,CR36,Zuidoost-Noord-Brabant,AM33,Midden-Limburg,PV30,Noord-Brabant
Cromstrijen,GM0611,2018,CR29,Groot-Rijnmond,AM22,Rijnmond,PV28,Zuid-Holland
Cuijk,GM1684,2021,CR35,Noordoost-Noord-Brabant,AM27,Noordoost-Brabant,PV30,Noord-Brabant
Culemborg,GM0216,2026,CR16,Zuidwest-Gelderland,AM10,Rivierenland,PV25,Gelderland
Dalfsen,GM0148,2026,CR10,Noord-Overijssel,AM36,Regio Zwolle,PV23,Overijssel
Dantumadiel,GM1891,2026,CR04,Noord-Friesland,AM02,Friesland,PV21,Fryslân
De Bilt,GM0310,2026,CR17,Utrecht,AM13,Midden-Utrecht,PV26,Utrecht
De Friese Meren,GM1921,2015,CR05,Zuidwest-Friesland,AM02,Friesland,PV21,Fryslân
De Fryske Marren,GM1940,2026,CR05,Zuidwest-Friesland,AM02,Friesland,PV21,Fryslân
De Marne,GM1663,2018,CR03,Overig Groningen,AM01,Groningen,PV20,Groningen
De Ronde Venen,GM0736,2026,CR17,Utrecht,AM18,Groot Amsterdam,PV26,Utrecht
De Wolden,GM1690,2026,CR09,Zuidwest-Drenthe,AM03,Drenthe,PV22,Drenthe
Delft,GM0503,2026,CR27,Delft en Westland,AM21,Haaglanden,PV28,Zuid-Holland
Delfzijl,GM0010,2020,CR02,Delfzijl en omgeving,AM01,Groningen,PV20,Groningen
Den Helder,GM0400,2026,CR18,Kop van Noord-Holland,AM15,Noord-Holland Noord,PV27,Noord-Holland
Deurne,GM0762,2026,CR36,Zuidoost-Noord-Brabant,AM32,Helmond-De Peel,PV30,Noord-Brabant
Deventer,GM0150,2026,CR11,Zuidwest-Overijssel,AM06,Veluwe Stedendriehoek,PV23,Overijssel
Diemen,GM0384,2026,CR23,Groot-Amsterdam,AM18,Groot Amsterdam,PV27,Noord-Holland
Dijk en Waard,GM1980,2026,CR19,Alkmaar en omgeving,AM15,Noord-Holland Noord,PV27,Noord-Holland
Dinkelland,GM1774,2026,CR12,Twente,AM05,Twente,PV23,Overijssel
Dirksland,GM0504,2012,CR29,Groot-Rijnmond,,,PV28,Zuid-Holland
Doesburg,GM0221,2026,CR15,Arnhem/Nijmegen,AM07,Midden-Gelderland,PV25,Gelderland
Doetinchem,GM0222,2026,CR14,Achterhoek,AM09,Achterhoek,PV25,Gelderland
Dongen,GM0766,2026,CR34,Midden-Noord-Brabant,AM26,Midden-Brabant,PV30,Noord-Brabant
