source_id,series_id,period,region,breakdown,value,value_label,unit,sample_size,published_at,source_url,is_sample,note
studiekeuze123,sk_job_at_level,2026,NL,business-it-management,93,,percent,,2026-09-19,https://www.studiekeuze123.nl/studies/39118-business-it-management-hbo-bachelor,0,Voltijd; meetjaar en aantal respondenten niet vermeld op Studiekeuze123; geraadpleegd 19-09-2026
studiekeuze123,sk_job_in_field,2026,NL,business-it-management,73,,percent,,2026-09-19,https://www.studiekeuze123.nl/studies/39118-business-it-management-hbo-bachelor,0,Voltijd; meetjaar en aantal respondenten niet vermeld op Studiekeuze123; geraadpleegd 19-09-2026
studiekeuze123,sk_months_to_job,2026,NL,business-it-management,3,,months,,2026-09-19,https://www.studiekeuze123.nl/studies/39118-business-it-management-hbo-bachelor,0,Voltijd; meetjaar en aantal respondenten niet vermeld op Studiekeuze123; geraadpleegd 19-09-2026
studiekeuze123,sk_permanent_contract,2026,NL,business-it-management,69,,percent,,2026-09-19,https://www.studiekeuze123.nl/studies/39118-business-it-management-hbo-bachelor,0,Voltijd; meetjaar en aantal respondenten niet vermeld op Studiekeuze123; geraadpleegd 19-09-2026
studiekeuze123,sk_hours_per_week,2026,NL,business-it-management,39,,hours,,2026-09-19,https://www.studiekeuze123.nl/studies/39118-business-it-management-hbo-bachelor,0,Voltijd; meetjaar en aantal respondenten niet vermeld op Studiekeuze123; geraadpleegd 19-09-2026
studiekeuze123,sk_outlook,2028,NL,business-it-management,,minder goed,label,,2026-09-19,https://www.studiekeuze123.nl/studies/39118-business-it-management-hbo-bachelor,0,Prognose van ROA tot 2028; geraadpleegd op Studiekeuze123 op 19-09-2026
studiekeuze123,sk_occupation,2026,NL,business-it-management/Systeemanalisten en ICT-adviseurs,31,,percent,,2026-09-19,https://www.studiekeuze123.nl/studies/39118-business-it-management-hbo-bachelor,0,"Alle opleidingsvormen, anderhalf jaar na afstuderen; geraadpleegd 19-09-2026"
studiekeuze123,sk_occupation,2026,NL,business-it-management/Systeembeheerders,12,,percent,,2026-09-19,https://www.studiekeuze123.nl/studies/39118-business-it-management-hbo-bachelor,0,"Alle opleidingsvormen, anderhalf jaar na afstuderen; geraadpleegd 19-09-2026"
studiekeuze123,sk_occupation,2026,NL,business-it-management/Softwareontwikkelaars,9,,percent,,2026-09-19,https://www.studiekeuze123.nl/studies/39118-business-it-management-hbo-bachelor,0,"Alle opleidingsvormen, anderhalf jaar na afstuderen; geraadpleegd 19-09-2026"
studiekeuze123,sk_starting_salary,2026,NL,hbo-bachelor,2773,,eur_month_gross,,2026-09-19,https://www.studiekeuze123.nl/studies/34479-informatica-hbo-bachelor,0,"Geschat gemiddelde van alle hbo-bacheloropleidingen, voltijd; geraadpleegd 19-09-2026"
