month,first_posted,last_posted,stored,partial,computed_at,classifier_version
2026-08,2026-08-20,2026-08-31,548,1,2026-09-20T14:37:39+00:00,2026.09.2
2026-09,2026-09-01,2026-09-20,5060,1,2026-09-20T14:37:39+00:00,2026.09.2
