series,source,period,start,region,breakdown,value,label,n,published,retrieved,url,sample,note
cbs_employed_ict_occupations,cbs,2014Q1,2014-01-01,NL,ict-occupations,294000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2014Q1,2014-01-01,NL,system-network-specialists,61000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2014Q1,2014-01-01,NL,system-analysts-advisers,88000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2014Q1,2014-01-01,NL,software-developers,93000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2014Q1,2014-01-01,NL,user-support,39000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2014Q2,2014-04-01,NL,ict-managers,29000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2014Q2,2014-04-01,NL,ict-occupations,293000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2014Q2,2014-04-01,NL,system-network-specialists,61000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2014Q2,2014-04-01,NL,system-analysts-advisers,86000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2014Q2,2014-04-01,NL,software-developers,97000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2014Q2,2014-04-01,NL,user-support,37000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2014Q3,2014-07-01,NL,ict-managers,26000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2014Q3,2014-07-01,NL,ict-occupations,301000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2014Q3,2014-07-01,NL,system-network-specialists,57000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2014Q3,2014-07-01,NL,system-analysts-advisers,81000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2014Q3,2014-07-01,NL,software-developers,107000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2014Q3,2014-07-01,NL,user-support,43000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2014Q4,2014-10-01,NL,ict-managers,24000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2014Q4,2014-10-01,NL,ict-occupations,298000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2014Q4,2014-10-01,NL,system-network-specialists,57000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2014Q4,2014-10-01,NL,system-analysts-advisers,81000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2014Q4,2014-10-01,NL,software-developers,106000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2014Q4,2014-10-01,NL,user-support,38000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2015Q1,2015-01-01,NL,ict-managers,23000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2015Q1,2015-01-01,NL,ict-occupations,306000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2015Q1,2015-01-01,NL,system-network-specialists,59000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2015Q1,2015-01-01,NL,system-analysts-advisers,89000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2015Q1,2015-01-01,NL,software-developers,107000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2015Q1,2015-01-01,NL,user-support,36000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2015Q2,2015-04-01,NL,ict-managers,22000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2015Q2,2015-04-01,NL,ict-occupations,320000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2015Q2,2015-04-01,NL,system-network-specialists,62000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2015Q2,2015-04-01,NL,system-analysts-advisers,95000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2015Q2,2015-04-01,NL,software-developers,112000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
cbs_employed_ict_occupations,cbs,2015Q2,2015-04-01,NL,user-support,35000.0,,,2026-07-30,2026-09-19T15:05:41+00:00,https://opendata.cbs.nl/#/CBS/nl/dataset/86320NED/table,0,
